lat,long,ind
42.4327,  -82.9492, 16998
42.4359,  -83.0691, 16998
42.4345,  -83.0045, 16998
42.33,  -83.1419, 16998
42.4319,  -83.2112, 16998
42.4152,  -82.9988, 16998
42.4411,  -83.0272, 16998
42.4204,  -83.1491, 16998
42.3706,  -83.0926, 16998
42.4166,  -83.2576, 16998
42.37,  -82.959, 16998
42.376,  -83.1451, 16998
42.3722,  -83.0422, 16998
42.414,  -83.2041, 16998
42.4205,  -82.9533, 16998
42.4063,  -82.9279, 16998
42.351,  -83.1918, 16998
42.3927,  -83.1983, 16998
42.3931,  -83.1937, 16998
42.3878,  -82.9936, 16998
42.4213,  -83.1438, 16998
42.4225,  -82.9487, 16998
42.3829,  -83.2643, 16998
42.4096,  -83.1448, 16998
42.449,  -82.9563, 16998
42.4187,  -83.0047, 16998
42.4271,  -82.9514, 16998
42.3039,  -83.1257, 7999
42.3846,  -83.0829, 7999
42.4048,  -83.0228, 7999
42.3872,  -82.9484, 7999
42.395,  -83.1186, 7999
42.4483,  -83.0136, 7999
42.4363,  -82.9597, 7999
42.436,  -83.0714, 7999
42.4276,  -83.1679, 7999
42.3647,  -83.2426, 7999
42.4068,  -82.9246, 7999
42.4183,  -82.9596, 7999
42.4048,  -83.2096, 7999
42.4214,  -83.1436, 7999
42.4223,  -82.9487, 7999
42.4022,  -82.943, 7999
42.335,  -83.2169, 7999
42.4457,  -82.9713, 7999
42.3424,  -83.206, 7999
42.443,  -83.1436, 7999
42.3506,  -83.0836, 7999
42.3712,  -83.0915, 7999
42.417,  -83.1764, 7999
42.3665,  -83.011, 7999
42.4432,  -83.1486, 7999
42.3455,  -83.2126, 7999
42.3757,  -83.1915, 7999
42.3406,  -83.2012, 7999
42.3133,  -83.1057, 7999
42.3656,  -83.2035, 7999
42.3786,  -83.1069, 7999
42.365,  -83.1959, 7999
42.4291,  -83.1071, 7998
42.4012,  -83.0232, 7998
42.3875,  -83.2052, 7998
42.3929,  -83.1353, 7998
42.2752,  -83.1525, 20999
42.3486,  -83.2422, 20999
42.4196,  -83.1086, 18000
42.3427,  -83.2357, 18000
42.4233,  -83.0899, 18000
42.4237,  -83.0899, 18000
42.3931,  -83.0052, 18000
42.414,  -83.2161, 18000
42.4072,  -83.206, 18000
42.3616,  -83.1087, 18000
42.3901,  -82.9727, 18000
42.4037,  -83.2253, 18000
42.3523,  -83.0701, 18000
42.3419,  -83.0898, 18000
42.4075,  -83.2449, 18000
42.3658,  -83.1845, 18000
42.4144,  -83.2581, 16998
42.3706,  -83.0954, 16998
42.4306,  -83.0679, 16998
42.3744,  -82.9796, 16998
42.3452,  -83.1074, 16998
42.4373,  -82.992, 16998
42.3437,  -83.035, 16998
42.3438,  -83.035, 16998
42.3573,  -83.1772, 16998
42.3436,  -83.0348, 16998
42.4131,  -83.2122, 16998
